FID,system_id,name_public,site_latitude,site_longitude,site_elevation,site_azimuth,site_tilt,site_power,site_area,module_mfg,module_model,module_tech,inverter_mfg,inverter_model
metadata_pws_pvdaq.1448709,1423,"[1423] RTC,NV,Baseline",36.0275,114.9215,697,180,35,6000,,Suniva,OPT270-60 BLK-BLK,,,
metadata_pws_pvdaq.1448710,1424,"[1424] RTC,VT,Met Station",44.4664,73.1024,109,180,0,,,,,,,
metadata_pws_pvdaq.1448711,1425,"[1425] RTC,NV,Met Station",36.0275,114.9215,697,180,0,,,,,,,
metadata_pws_pvdaq.1448712,1426,"[1426] RTC,NREL,Baseline",39.7397,105.174,1750,180,30,2700,,Suniva,OPT270-60 BLK-BLK,,ABB,PVI 3k
metadata_pws_pvdaq.1448713,1429,"[1429] RTC,SNL,Baseline",35.0549,106.5433,1658,180,35,6000,,Suniva,OPT270-60 BLK-BLK,,,
metadata_pws_pvdaq.1448714,35,[35] Andre Agassi Preparatory Academy - Gymnasium,36.1952,115.1582,620,270,,121680,826.4911,Sharp ,NU-U240F1,Monocrystalline Silicon,SatCon Technology,135kW
metadata_pws_pvdaq.1448715,38,[38] NREL CdTe #1d,39.7406,105.1773,1794.7,180,30,600,8.688,"Solar Cells, Inc.",50W Prototype Module,Cadmium Telluride (CdTe),SMA,
metadata_pws_pvdaq.1448716,39,[39] NREL Ribbon Si #1c,39.7407,105.1773,1792.2,180,40,1400,7.429,Mobil,Ra 280-50H,Ribbon Silicon,,
metadata_pws_pvdaq.1448717,1223,[1223] Mercury Solar Systems - Array 3,40.995,73.668,75,180,0,7920,118.882,UniSolar,PVL-144,Amorphous Silicon (triple junction),Fronius,IG+ 7.5
metadata_pws_pvdaq.1448718,1224,[1224] Mercury Solar Systems - Array 9,40.995,73.668,75,180,10,8280,,Yingli,,Polycrystalline Silicon,Fronius,IG+ 7.5
metadata_pws_pvdaq.1448719,1265,Residential - NOLA #22 - District E,29.9809,90.0023,10,195,30,2700,22.4274,Evergreen Solar,ES-180,Ribbon Silicon,Xantrex,GT 3.3kW
metadata_pws_pvdaq.1448720,1225,[1225] Mercury Solar Systems - Array 1B,40.995,73.668,75,180,10,4400,32.343,Suntech,STP-200,Polycrystalline Silicon,,
metadata_pws_pvdaq.1448721,1226,[1226] Mercury Solar Systems - Array 8A,40.995,73.668,75,180,10,3850,22.086,Suntech,STP-175(S)-24/Ab-1,Polycrystalline Silicon,Fronius,IG+ 3.8
metadata_pws_pvdaq.1448722,1232,[1232] Integrator #2 - Site A,40.81,73.88,10,169,10,50490,344.557,Suntech,STP-270,Polycrystalline Silicon,SatCon Technology,Power Gate 50kW
metadata_pws_pvdaq.1448723,1266,Residential - NOLA #23 - District E,29.9809,90.0023,10,195,35,2800,22.519,Canadian Solar,CS6P-200,Polycrystalline Silicon,SMA,SB4000
metadata_pws_pvdaq.1448724,1267,Residential - NOLA #24 - District E,29.9809,90.0023,10,190,30,2800,22.519,Canadian Solar,CS6P-200,Polycrystalline Silicon,SMA,SB4000
metadata_pws_pvdaq.1448725,1268,Residential - NOLA #25 - District E,29.9809,90.0023,10,195,28,4140,28.953,Canadian Solar,CS6P-230,Polycrystalline Silicon,PV Powered,3.5kW
metadata_pws_pvdaq.1448726,1269,Residential - NOLA #26 - District E,29.9809,90.0023,10,195,30,4140,30.5946,Canadian Solar,CS5P-230,Polycrystalline Silicon,PV Powered,3.5kW
metadata_pws_pvdaq.1448727,1270,Residential - NOLA #27 - District E,29.9809,90.0023,10,195,20,2800,22.519,Canadian Solar,CS6P-200,Polycrystalline Silicon,SMA,SB4000
